id;term_greek_transliterated;translation_eng;from;term_greek;hisco_major;harris_sector
66;ἐλαιολόγος;olive-picker;lewis;elaiológos;6;Food-Production
67;ἐλαιοπώλης;olive-seller;lewis;elaiopṓlēs;4;Food-Retail
68;ἔμπορος;merchant;harris;émporos;4;Retail
69;ἐπίτροπος;overseer;harris;epítropos;2;Miscellaneous Services
70;ἐργολάβος;contractor;harris;ergolábos;9;Building
71;ἔριθος;wool-worker;lewis;érithos;7;Clothing
72;ἐριοπλόκος;wool-weaver;lewis;erioplókos;7;Clothing
73;ἐριοπώλης;wool-seller;lewis;eriopṓlēs;4;Retail
74;ἑταίρα;call-girl;harris;hetaíra;5;Miscellaneous Services
75;ζευγοτρόφος;teamster;harris;zeugotróphos;9;Transport
76;ζωγράφος;painter, artist;harris;zōgráphos;1;Plastic Arts
77;ἡδύοινος;dealer in sweet wine;lewis;hēdýoinos;4;Food-Retail
78;ἡνιοποιεῖον;bridle-maker;lewis;hēniopoieîon;8;Miscellaneous Services
79;θαλασιουργός;wool-worker;lewis;thalasiourgós;7;Clothing
80;θυροποιός;door-maker;lewis;thyropoiós;9;Building
81;θωρακοποιός;corselet-maker;lewis;thōrakopoiós;7;Clothing
82;ἰατρός;doctor;harris;iatrós;1;Miscellaneous Services
83;ἱέρεια;priestess;other;hiéreia;;
84;ἱερεύς;priest;other;hiereús;;
85;ἱματόπολις;clothes-seller;lewis;himatópolis;4;Retail
86;ἱππικός;riding-trainer;harris;hippikós;1;Education
87;ἰσχαδοπώλης;dried-fig seller;lewis;ischadopṓlēs;4;Food-Retail
88;ἰχθυοπώλης;fishmonger;lewis;ichthyopṓlēs;4;Food-Retail
89;καναβιουργός;"maker of kanaboi (frameworks, ""stick-figures"")";harris;kanabiourgós;9;Building
90;κάπηλις;retail-salesperson;harris;kápēlis;4;Retail
91;κάπηλος;retail-salesperson;harris;kápēlos;4;Retail
92;κάπηλος ἀσπίδων;shield-seller;lewis;kápēlos aspídōn;4;Retail
93;καρυοπώλης;nut-seller;lewis;karyopṓlēs;4;Food-Retail
94;κελευστής;rowing-master;harris;keleustḗs;9;Transport
